X	2	3	4	5	6	7	8	9	10	A
8	H	H	H	H	H	H	S	H	D	H
9	H	H	H	H	H	S	H	H	S	D
10	H	H	H	D	H	H	S	H	H	H
11	S	D	H	D	D	S	D	D	D	D
12	H	H	S	S	H	H	H	H	H	H
13	H	H	H	H	H	S	D	S	H	S
14	S	S	H	H	H	H	S	H	H	H
15	D	S	H	H	H	H	H	H	S	S
16	S	H	H	H	H	H	H	H	S	S
17	S	S	H	H	S	S	H	S	S	S
2,2	H	H	H	S	S	H	H	S	H	H
3,3	H	H	S	P	H	H	H	H	H	H
4,4	S	H	S	H	H	H	H	H	H	S
5,5	H	H	S	H	H	H	H	H	H	H
6,6	H	H	H	H	S	H	S	H	H	H
7,7	P	S	P	P	S	S	S	H	H	D
8,8	P	P	S	H	P	P	S	P	S	P
9,9	D	S	S	H	H	H	H	S	S	S
10,10	S	S	S	S	H	H	H	S	S	S
A,2	H	H	S	H	H	H	H	H	H	H
A,3	D	H	S	H	H	D	H	H	H	H
A,4	H	H	H	H	S	H	H	H	H	H
A,5	H	H	S	H	H	H	H	H	S	S
A,6	H	H	H	H	S	H	H	H	H	H
A,7	S	S	H	H	S	H	H	H	H	S
A,8	H	S	S	H	S	S	S	S	H	S
A,9	H	S	S	S	S	S	S	S	H	S
A,10	S	H	S	H	S	S	H	S	S	S
A,A	P	P	H	P	P	P	H	S	H	P
